受理号,药品名称,注册申请人,承办日期,申请日期,公示日期,状态,拟定适应症（或功能主治）
CYHS1900010,盐酸乐卡地平片,深圳信立泰药业股份有限公司,2019-01-15,2019-01-16,2019-03-12,已纳入,适用于治疗轻、中度原发性高血压。
CXHS1900004,海泽麦布片,浙江海正药业股份有限公司,2019-01-17,2019-01-18,2019-03-11,已纳入,降血脂药物，用于治疗原发性高胆固醇血症。
CXSS1900003,Sabin株脊髓灰质炎灭活疫苗（Vero细胞）,北京科兴生物制品有限公司,2019-01-29,2019-02-27,2019-03-11,已纳入,接种本品可以诱导机体产生主动免疫，预防由脊髓灰质炎Ⅰ型、Ⅱ型和Ⅲ型病毒导致的脊髓灰质炎。 
CXSS1900004,贝伐珠单抗注射液,信达生物制药（苏州）有限公司,2019-01-31,2019-01-31,2019-03-11,已纳入,非小细胞肺癌、转移性结直肠癌
CXSS1900007,Sabin株脊髓灰质炎灭活疫苗（Vero细胞）,武汉生物制品研究所有限责任公司,2019-02-20,2019-02-25,2019-03-11,已纳入,接种本疫苗后，可刺激机体产生抗脊髓灰质炎病毒免疫力。用于预防由脊髓灰质炎病毒Ⅰ型、Ⅱ型、Ⅲ型引起的脊髓灰质炎。
JXSS1900001,纳武利尤单抗注射液,百时美施贵宝（中国）投资有限公司,2019-02-11,2019-02-15,2019-03-11,已纳入,"头颈部鳞状细胞癌（SCCHN）
本品适用于治疗接受含铂类方案治疗期间或之后出现疾病进展且肿瘤PD-L1表达阳性（定义为表达PD-L1的肿瘤细胞≥1%）的复发性或转移性头颈部鳞状细胞癌（SCCHN）患者。"
JXSS1900002,纳武利尤单抗注射液,百时美施贵宝（中国）投资有限公司,2019-02-11,2019-02-15,2019-03-11,已纳入,"头颈部鳞状细胞癌（SCCHN）
本品适用于治疗接受含铂类方案治疗期间或之后出现疾病进展且肿瘤PD-L1表达阳性（定义为表达PD-L1的肿瘤细胞≥1%）的复发性或转移性头颈部鳞状细胞癌（SCCHN）患者。"
CXSS1900001,阿达木单抗注射液,上海复宏汉霖生物技术股份有限公司,2019-01-28,2019-01-28,2019-03-08,已纳入,类风湿关节炎；强直性脊柱炎；银屑病
CXSS1900002,注射用重组人纽兰格林,上海泽生科技开发股份有限公司,2019-02-01,2019-02-02,2019-03-08,已纳入,慢性收缩性心力衰竭（轻中度心衰患者，NYHA II、III级且NT-proBNP≦1600pg/mL）
JXHS1800081,达拉非尼胶囊,北京诺华制药有限公司,2019-01-07,2019-01-09,2019-02-26,已纳入,达拉非尼联合曲美替尼适用于治疗BRAF V600突变阳性的不可切除或转移性黑色素瘤患者
JXHS1800082,达拉非尼胶囊,北京诺华制药有限公司,2019-01-07,2019-01-09,2019-02-26,已纳入,达拉非尼联合曲美替尼适用于治疗BRAF V600突变阳性的不可切除或转移性黑色素瘤患者
JXHS1800083,曲美替尼片,北京诺华制药有限公司,2019-01-07,2019-01-09,2019-02-26,已纳入,曲美替尼联合达拉非尼适用于治疗BRAF V600突变阳性的不可切除或转移性黑色素瘤患者
JXHS1800084,曲美替尼片,北京诺华制药有限公司,2019-01-07,2019-01-09,2019-02-26,已纳入,曲美替尼联合达拉非尼适用于治疗BRAF V600突变阳性的不可切除或转移性黑色素瘤患者
CXSS1800027,阿达木单抗注射液,信达生物制药（苏州）有限公司,2018-11-15,2019-02-15,2019-02-26,已纳入,强直性脊柱炎、类风湿性关节炎、银屑病
CXHS1800044,盐酸恩莎替尼,贝达药业股份有限公司,2019-01-02,2019-01-03,2019-02-25,已纳入,本品适用于此前接受过克唑替尼治疗后进展的或者对克唑替尼不耐受的间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者。
JXHS1800080,普拉曲沙注射液,萌蒂(中国)制药有限公司,2019-01-02,2019-01-15,2019-02-25,已纳入,本品用于治疗复发性或难治性外周T细胞淋巴瘤（PTCL）
JXSS1800042,帕妥珠单抗注射液,罗氏（中国）投资有限公司,2019-01-07,2019-01-07,2019-02-25,已纳入,帕妥珠单抗与赫赛汀和多西他赛联合，适用于HER2阳性、转移性或不可切除的局部复发性乳腺癌患者。针对转移性疾病，患者既往未接受过抗HER2治疗或者化疗。
JXSS1800032,阿利珠单抗注射液,赛诺菲（中国）投资有限公司,2018-12-06,2019-01-18,2019-02-19,已纳入,
JXSS1800033,阿利珠单抗注射液,赛诺菲（中国）投资有限公司,2018-12-06,2019-01-18,2019-02-19,已纳入,
JXSS1800034,阿利珠单抗注射液,赛诺菲（中国）投资有限公司,2018-12-06,2019-01-18,2019-02-19,已纳入,
JXSS1800035,阿利珠单抗注射液,赛诺菲（中国）投资有限公司,2018-12-06,2019-01-18,2019-02-19,已纳入,
CXHS1800045,盐酸恩莎替尼胶囊,贝达药业股份有限公司,2019-01-02,2019-01-03,2019-02-15,已纳入,本品适用于此前接受过克唑替尼治疗后进展的或者对克唑替尼不耐受的间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者。
CXHS1800046,盐酸恩莎替尼胶囊,贝达药业股份有限公司,2019-01-02,2019-01-03,2019-02-15,已纳入,本品适用于此前接受过克唑替尼治疗后进展的或者对克唑替尼不耐受的间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者。
JXSS1800044,阿达木单抗注射液,艾伯维医药贸易（上海）有限公司,2019-01-09,2019-01-09,2019-02-15,已纳入,多关节型幼年特发性关节炎
CXSS1800025,阿达木单抗注射液,浙江海正药业股份有限公司,2018-09-25,2018-09-25,2019-02-14,已纳入,强直性脊柱炎、类风湿关节炎、斑块状银屑病
JXHS1800071,拉考沙胺注射液,优时比贸易（上海）有限公司,2018-12-07,2019-01-29,2019-02-11,已纳入,本品适用于成人、4岁及以上儿童和青少年癫痫患者伴有或不伴有继发性全面性发作的部分性发作的联合治疗。
CYHS1800214,泊沙康唑注射液,江苏奥赛康药业股份有限公司,2018-08-22,2018-10-24,2019-02-03,已纳入,预防侵袭性曲霉菌和念珠菌感染
CYHS1800303,替格瑞洛片,广东东阳光药业有限公司,2018-10-10,2018-10-11,2019-02-03,已纳入,"本品与阿司匹林合用，用于急性冠脉综合征（ACS）患者或者有心肌梗死病史且伴有至少一种动脉粥样硬化血栓形成事件高危因素（见临床试验PEGASUS研究）的患者，降低心血管死亡、心肌梗死和卒中的发生率。
至少在ACS发病后最初12个月内，本品的疗效优于氯吡格雷。
在ACS患者中，对本品与阿司匹林联合用药进行了研究。结果发现，阿司匹林维持剂量大于100mg会降低替格瑞洛减少复合终点事件的临床疗效，因此，阿司匹林的维持剂量不能超过每日100mg。"
CYHS1900032,布洛芬缓释胶囊,南京易亨制药有限公司,2019-01-17,2019-01-17,2019-02-03,已纳入,用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。也用于普通感冒或流行性感冒引起的发热。
CYHS1800241,吲达帕胺片,苏州爱美津制药有限公司,2018-08-30,2018-12-05,2019-02-02,已纳入,用于治疗高血压 
CYHS1800397,注射用伏立康唑,海南普利制药股份有限公司,2018-11-07,2018-12-02,2019-02-02,已纳入,"    本品是一种广谱的三唑类抗真菌药，适用于治疗成人和2岁及2岁以上儿童患者的下列真菌感染：
    （1）侵袭性曲霉病。
    （2）非中性粒细胞减少患者中的念珠菌血症。
    （3）对氟康唑耐药的念珠菌引起的严重侵袭性感染（包括克柔念珠菌）。
    （4）由足放线病菌属和镰刀菌属引起的严重感染。
   本品主要用于进展性、可能威胁生命的真菌感染患者的治疗。
   预防接受异基因造血干细胞移植(HSCT)的高危患者中的侵袭性真菌感染。
"
CYHS1800456,盐酸美金刚片,石药集团欧意药业有限公司,2018-12-12,2018-12-13,2019-02-02,已纳入,本品适用于治疗中度至重度阿尔茨海默型痴呆。
CYHS1800457,盐酸美金刚片,石药集团欧意药业有限公司,2018-12-12,2018-12-13,2019-02-02,已纳入,本品适用于治疗中度至重度阿尔茨海默型痴呆。
JXSS1800043,阿达木单抗注射液,艾伯维医药贸易（上海）有限公司,2019-01-09,2019-01-09,2019-01-25,已纳入,儿童斑块状银屑病
CXHS1800033,西达本胺片,深圳微芯生物科技股份有限公司,2018-11-12,2018-11-12,2019-01-18,已纳入,"1.用于既往至少接受过一次全身化疗的复发或难治的外周T细胞淋巴瘤（包括NK/T细胞淋巴瘤）患者。该适应症是基于一项单臂临床试验的客观缓解率结果给予的有条件批准。
2.联合芳香化酶抑制剂用于激素受体阳性、人表皮生长因子受体-2阴性、绝经后、经内分泌治疗复发或进展的局部晚期或转移性乳腺癌患者。
"
CXHS1800042,对甲苯磺酸尼拉帕利,再鼎医药（上海）有限公司,2018-12-17,2018-12-17,2019-01-18,已纳入,适用于对含铂化疗达到完全缓解或部分缓解后的复发性上皮性卵巢癌、输卵管癌或原发性腹膜癌成人患者的维持治疗。
CXHS1800043,对甲苯磺酸尼拉帕利胶囊,再鼎医药（上海）有限公司,2018-12-17,2018-12-17,2019-01-18,已纳入,适用于对含铂化疗达到完全缓解或部分缓解后的复发性上皮性卵巢癌、输卵管癌或原发性腹膜癌成人患者的维持治疗。
JXHS1800033,布地奈德格隆溴铵福莫特罗吸入气雾剂,阿斯利康投资（中国）有限公司,2018-09-20,2018-11-13,2019-01-18,已纳入,本品适用于慢性阻塞性肺病（COPD），包括慢性支气管炎和/或肺气肿，患者气流阻塞的长期维持治疗；用于伴有急性加重风险的COPD患者，减少急性加重。
JXHS1800034,布地奈德格隆溴铵福莫特罗吸入气雾剂,阿斯利康投资（中国）有限公司,2018-09-20,2018-11-13,2019-01-18,已纳入,本品适用于慢性阻塞性肺病（COPD），包括慢性支气管炎和/或肺气肿，患者气流阻塞的长期维持治疗；用于伴有急性加重风险的COPD患者，减少急性加重。
JXHS1800035,布地奈德格隆溴铵福莫特罗吸入气雾剂,阿斯利康投资（中国）有限公司,2018-09-20,2018-11-13,2019-01-18,已纳入,本品适用于慢性阻塞性肺病（COPD），包括慢性支气管炎和/或肺气肿，患者气流阻塞的长期维持治疗；用于伴有急性加重风险的COPD患者，减少急性加重。
JXSS1800028,依洛尤单抗注射液,安进生物技术咨询（上海）有限公司,2018-10-31,2018-11-05,2019-01-14,已纳入,原发性高胆固醇血症和混合型血脂异常
CXHS1800031,右旋莰醇,南京先声东元制药有限公司,2018-11-01,2018-11-09,2019-01-03,已纳入,用于改善急性缺血性脑卒中所致的神经症状、日常生活活动能力和功能障碍。
CXHS1800034,苯磺酸瑞马唑仑,宜昌人福药业有限责任公司,2018-11-15,2018-11-15,2019-01-02,已纳入,作为镇静药物用于程序镇静。
CXHS1800036,甘露寡糖二酸,上海绿谷制药有限公司,2018-11-20,2018-11-22,2019-01-02,已纳入,阿尔茨海默病
CXZS1700007,桑枝总生物碱,北京五和博澳药业有限公司,2018-05-24,2018-11-20,2019-01-02,已纳入,Ⅱ型糖尿病
CXHS1800032,依达拉奉右旋莰醇注射液,南京先声东元制药有限公司,2018-11-01,2018-11-09,2018-12-25,已纳入,用于改善急性缺血性脑卒中所致的神经症状、日常生活活动能力和功能障碍。
CYHS1800161,奥氮平口崩片,广东东阳光药业有限公司,2018-07-20,2018-10-12,2018-12-25,已纳入,奥氮平适用于治疗精神分裂症。 对奥氮平初次治疗有效的患者，巩固治疗可以有效维持临床症状改善。 奥氮平适用于治疗中到重度的躁狂发作。 对奥氮平治疗有效的躁狂发作患者，奥氮平可以预防双相情感障碍的复发。 
CYHS1800163,复方维生素注射液（13）,辽宁海思科制药有限公司,2018-07-19,2018-08-01,2018-12-25,已纳入,"本品是复方维生素制剂，适用于预防成人和11岁及以上儿童接受胃肠外营养时维生素缺乏。
本品应在患者出现维生素缺乏的临床体征前即开始补充。
"
CYHS1800223,奥氮平片,广东东阳光药业有限公司,2018-08-27,2018-11-20,2018-12-25,已纳入,"奥氮平用于治疗精神分裂症。
初始治疗有效的患者，奥氮平在维持治疗期间能够保持其临床效果。
奥氮平用于治疗中、重度躁狂发作。
对奥氮平治疗有效的躁狂发作患者，奥氮平可用于预防双相情感障碍的复发。"
CYHS1800224,奥氮平片,广东东阳光药业有限公司,2018-08-27,2018-11-20,2018-12-25,已纳入,"奥氮平用于治疗精神分裂症。
初始治疗有效的患者，奥氮平在维持治疗期间能够保持其临床效果。
奥氮平用于治疗中、重度躁狂发作。
对奥氮平治疗有效的躁狂发作患者，奥氮平可用于预防双相情感障碍的复发。
"
CYHS1800271,苯磺酸氨氯地平片,广东东阳光药业有限公司,2018-09-19,2018-10-12,2018-12-25,已纳入,"1.	高血压
本品适用于高血压的治疗。本品可单独应用或与其他抗高血压药物联合应用。
高血压的控制是心血管风险综合管理的一部分，综合管理措施可能需要包括：血脂控制、糖尿病管理、抗血栓治疗、戒烟、体育锻炼和限制钠盐的摄入。
收缩压或舒张压的升高均增高心血管风险。在更高的基础血压水平上，每毫米汞柱血压的升高所带来的绝对风险增加会更高。降低血压获得风险降低的相对程度在有不同心血管绝对风险的人群中是相似的。严重高血压患者，略微降低血压就能带来较大的临床获益。
对成人高血压患者，通常而言，降低血压可降低心血管事件的风险，主要是卒中、以及心肌梗死的风险。
2.	冠心病（CAD）
慢性稳定性心绞痛
本品适用于慢性稳定性心绞痛的对症治疗。可单独应用或与其他抗心绞痛药物联合应用。
血管痉挛性心绞痛（Prinzmetal’s或变异型心绞痛）
本品适用于确诊或可疑的血管痉挛性心绞痛的治疗。可单独应用也可与其他抗心绞痛药物联合应用。
经血管造影证实的冠心病
经血管造影证实为冠心病，但射血分数≥40%且无心力衰竭的患者，本品可减少因心绞痛住院的风险以及降低冠状动脉重建术的风险。
"
CYHS1800369,厄贝沙坦氢氯噻嗪片,河北龙海药业有限公司,2018-10-25,2018-10-25,2018-12-25,已纳入,"用于治疗原发性高血压。
该固定剂量复方用于治疗单用厄贝沙坦或氢氯噻嗪不能有效控制血压的患者。
"
CYHS1800370,替米沙坦氢氯噻嗪片,浙江华海药业股份有限公司,2018-10-26,2018-10-30,2018-12-25,已纳入,用于治疗原发性高血压
CYHS1800371,替米沙坦氢氯噻嗪片,浙江华海药业股份有限公司,2018-10-26,2018-10-30,2018-12-25,已纳入,用于治疗原发性高血压 
JXHS1800032,Spinraza注射液,昆泰企业管理（上海）有限公司,2018-09-05,2018-09-05,2018-12-25,已纳入,本品用于治疗5q脊髓性肌萎缩症（SMA）。
JXHS1800065,比克替拉韦/恩曲他滨/丙酚替诺福韦片,吉利德（上海）医药科技有限公司,2018-11-28,2018-11-28,2018-12-25,已纳入,适用于治疗人类免疫缺陷病毒1型（HIV-1）感染的成人，且患者无现在和既往对整合酶抑制剂类药物、恩曲他滨或替诺福韦产生病毒耐药性的证据。
JXHS1800052,吡仑帕奈片,卫材（中国）药业有限公司,2018-10-17,2018-10-18,2018-12-25,已纳入,成人和12岁及以上儿童癫痫部分性发作患者（伴有或不伴有继发全面性发作）的加用治疗。
JXHS1800053,吡仑帕奈片,卫材（中国）药业有限公司,2018-10-17,2018-10-18,2018-12-25,已纳入,"成人和12岁及以上儿童癫痫部分性发作患者（伴有或不伴有继发全面性发作）的加用治疗。
"
CXHS1800035,注射用苯磺酸瑞马唑仑,宜昌人福药业有限责任公司,2018-11-15,2018-11-15,2018-12-24,已纳入,作为镇静药物用于程序镇静。
CXHS1800030,赞布替尼胶囊,百济神州（苏州）生物科技有限公司,2018-10-24,2018-10-24,2018-12-24,已纳入,"在2018年9月28日百济神州与药审中心进行的上市前沟通交流会中，汇报了本品205研究的初步研究结果，并征得药审中心同意，本品符合优先审评资格。此次递交的优先审评申请，将从赞布替尼全球研发策略、疾病治疗现状及未满足的临床需求、赞布替尼显著的临床获益方面进行详细阐述。 本品赞布替尼胶囊作为第二代布鲁顿酪氨酸激酶（BTK）抑制剂，与第一代BKT抑制剂伊布替尼相比具有更高的选择性和更强的BTK抑制活性。研究结果显示赞布替尼是一种高度特异性的BTK抑制剂，这些特性使得赞布替尼有潜力领先于同类产品。现有临床试验数据证实，赞布替尼用于治疗既往至少接受过一种治疗的CLL/SLL患者的治疗时，与第一代BTK抑制剂相比在疗效和安全性上都具有明显治疗优势，并且有可能超越目前已经批准上市的伊布替尼，给患者带来更大的治疗获益。基于上述信息，本申请满足优先审评条件，恳请批准。
由于此处篇幅有限，详细阐述内容请参见附件。此外，同时上传公司与药审中心沟通的会议纪要和本品列入国家重大专项的批复文件作为参考附件。
"
CXHS1800037,甘露寡糖二酸胶囊,上海绿谷制药有限公司,2018-11-20,2018-11-22,2018-12-24,已纳入,阿尔茨海默病
CXHS1800038,甘露寡糖二酸胶囊,上海绿谷制药有限公司,2018-11-20,2018-11-22,2018-12-24,已纳入,阿尔茨海默病
CXHS1800039,盐酸安罗替尼胶囊,正大天晴药业集团股份有限公司,2018-11-28,2018-12-03,2018-12-24,已纳入,本品单药适用于既往至少接受过2种化疗方案后出现进展或复发的小细胞肺癌患者的治疗。
CXHS1800040,盐酸安罗替尼胶囊,正大天晴药业集团股份有限公司,2018-11-28,2018-12-03,2018-12-24,已纳入,本品单药适用于既往至少接受过2种化疗方案后出现进展或复发的小细胞肺癌患者的治疗。
CXHS1800041,盐酸安罗替尼胶囊,正大天晴药业集团股份有限公司,2018-11-28,2018-12-03,2018-12-24,已纳入,本品单药适用于既往至少接受过2种化疗方案后出现进展或复发的小细胞肺癌患者的治疗。
CXZS1700008,桑枝总生物碱片,北京五和博澳药业有限公司,2018-11-16,2018-11-20,2018-12-24,已纳入,Ⅱ型糖尿病
CYHS1700680,沙美特罗替卡松粉吸入剂（50μg/100μg）,正大天晴药业集团股份有限公司,2018-06-07,2018-11-08,2018-12-24,已纳入,本品以联合用药形式（支气管扩张剂和吸入皮质激素），用于可逆性气道阻塞性气道疾病的规律治疗，包括成人和儿童哮喘。这可包括：接受有效维持剂量的长效β-激动剂和吸入型皮质激素治疗的患者。目前使用吸入型皮质激素治疗但仍有症状的患者。接受支气管扩张剂规律治疗但仍然需要吸入型皮质激素的患者。 
CYHS1700681,沙美特罗替卡松粉吸入剂(50μg/250μg),正大天晴药业集团股份有限公司,2018-06-07,2018-11-06,2018-12-24,已纳入,本品以联合用药形式（支气管扩张剂和吸入皮质激素），用于可逆性气道阻塞性气道疾病的规律治疗，包括成人和儿童哮喘。这可包括：接受有效维持剂量的长效β-激动剂和吸入型皮质激素治疗的患者。目前使用吸入型皮质激素治疗但仍有症状的患者。接受支气管扩张剂规律治疗但仍然需要吸入型皮质激素的患者。
CYHS1800351,苯磺顺阿曲库铵注射液,江苏恒瑞医药股份有限公司,2018-10-15,2018-10-18,2018-12-24,已纳入,本品用于手术和其他操作以及重症监护治疗。作为全麻的辅助用药或在重症监护病房(ICU)起镇静作用，它可以松弛骨骼肌，使气管插管和机械通气易于进行。
JXHS1800054,甲磺酸奥希替尼片,阿斯利康投资（中国）有限公司,2018-10-29,2018-10-29,2018-12-24,已纳入,"具有表皮生长因子受体（EGFR）外显子19缺失或外显子21（L858R）置换突变的局部晚期或转移性非小细胞肺癌（NSCLC）成人患者的一线治疗。
既往经EGFR酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展，并且经检测确认存在EGFR T790M突变阳性的局部晚期或转移性NSCLC成人患者的治疗。
"
JXHS1800055,甲磺酸奥希替尼片,阿斯利康投资（中国）有限公司,2018-10-29,2018-10-29,2018-12-24,已纳入,"具有表皮生长因子受体（EGFR）外显子19缺失或外显子21（L858R）置换突变的局部晚期或转移性非小细胞肺癌（NSCLC）成人患者的一线治疗。
既往经EGFR酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展，并且经检测确认存在EGFR T790M突变阳性的局部晚期或转移性NSCLC成人患者的治疗。
"
JXHS1800061,奥拉帕利片,阿斯利康投资（中国）有限公司,2018-11-12,2018-11-12,2018-12-24,已纳入,"本品适用于：在一线含铂化疗中达到完全缓解或部分缓解的新诊断的BRCA1/2突变晚期高级别上皮性卵巢癌、输卵管癌或原发性腹膜癌的成年患者的维持治疗。铂敏感的复发性上皮性卵巢癌、输卵管癌或原发性腹膜癌成人患者在含铂化疗达到完全缓解或部分缓解后的维持治疗。
"
JXHS1800062,奥拉帕利片,阿斯利康投资（中国）有限公司,2018-11-12,2018-11-12,2018-12-24,已纳入,本品适用于：在一线含铂化疗中达到完全缓解或部分缓解的新诊断的BRCA1/2突变晚期高级别上皮性卵巢癌、输卵管癌或原发性腹膜癌的成年患者的维持治疗。铂敏感的复发性上皮性卵巢癌、输卵管癌或原发性腹膜癌成人患者在含铂化疗达到完全缓解或部分缓解后的维持治疗。
JXHS1800063,氯化镭[223Ra]注射液,拜耳医药保健有限公司,2018-11-23,2018-11-26,2018-12-24,已纳入,氯化镭[223Ra]注射液是一种发射α粒子的放射性治疗药物，用于治疗伴骨转移且无已知内脏转移的去势抵抗性前列腺癌（mCRPC）。
JXSS1800021,注射用阿加糖酶β,赛诺菲（中国）投资有限公司,2018-10-18,2018-10-22,2018-12-24,已纳入,"本品适用于被确诊为法布雷病（Fabry disease，α-半乳糖苷酶A缺乏）患者的长期酶替代疗法。
本品适用于成人、8岁及以上的儿童和青少年。
"
JXSS1800022,注射用阿加糖酶β,赛诺菲（中国）投资有限公司,2018-10-18,2018-10-22,2018-12-24,已纳入,"本品适用于被确诊为法布雷病（Fabry disease，α-半乳糖苷酶A缺乏）患者的长期酶替代疗法。
本品适用于成人、8岁及以上的儿童和青少年。
"
JXSS1800023,达雷木单抗注射液,西安杨森制药有限公司,2018-10-19,2018-10-19,2018-12-24,已纳入,本品适用于单药治疗复发和难治性多发性骨髓瘤成年患者，包括既往接受过一种蛋白酶体抑制剂和一种免疫调节剂且最后一次治疗出现疾病进展的患者。
JXSS1800024,达雷木单抗注射液,西安杨森制药有限公司,2018-10-19,2018-10-19,2018-12-24,已纳入,本品适用于单药治疗复发和难治性多发性骨髓瘤成年患者，包括既往接受过一种蛋白酶体抑制剂和一种免疫调节剂且最后一次治疗出现疾病进展的患者。
JXSS1800025,帕博利珠单抗注射液,默沙东研发（中国）有限公司,2018-10-22,2018-10-26,2018-12-24,已纳入,帕博利珠单抗联合化疗用于鳞状非小细胞肺癌一线治疗
JXSS1800026,地舒单抗注射液,安进生物技术咨询（上海）有限公司,2018-10-26,2018-10-30,2018-12-24,已纳入,"骨巨细胞瘤
用于治疗其骨巨细胞瘤不可手术切除或者手术切除可能导致严重功能障碍的成人和骨骼发育成熟青少年患者。"
JXSS1800029,帕博利珠单抗注射液,默沙东研发（中国）有限公司,2018-11-12,2018-11-20,2018-12-24,已纳入,帕博利珠单抗用于PDL1表达的表皮因子受体基因突变阴性和间变性淋巴瘤激酶阴性的局部晚期或转移性非小细胞肺癌一线单药治疗。
CXHS1800023,赞布替尼,百济神州（苏州）生物科技有限公司,2018-08-29,2018-08-29,2018-11-15,已纳入,适用于既往至少接受过一种治疗的套细胞淋巴瘤（MCL）患者的治疗。
CXHS1800024,赞布替尼胶囊,百济神州（苏州）生物科技有限公司,2018-08-29,2018-08-29,2018-11-07,已纳入,适用于既往至少接受过一种治疗的套细胞淋巴瘤（MCL）患者的治疗。
CXHS1800025,盐酸安罗替尼胶囊,正大天晴药业集团股份有限公司,2018-09-06,2018-09-10,2018-11-07,已纳入,本品单药适用于腺泡状软组织肉瘤、透明细胞肉瘤以及既往至少接受过含蒽环类化疗方案治疗后进展或复发的其他晚期软组织肉瘤患者的治疗。
CXHS1800026,盐酸安罗替尼胶囊,正大天晴药业集团股份有限公司,2018-09-06,2018-09-10,2018-11-07,已纳入,本品单药适用于腺泡状软组织肉瘤、透明细胞肉瘤以及既往至少接受过含蒽环类化疗方案治疗后进展或复发的其他晚期软组织肉瘤患者的治疗。
CXHS1800027,盐酸安罗替尼胶囊,正大天晴药业集团股份有限公司,2018-09-06,2018-09-10,2018-11-07,已纳入,本品单药适用于腺泡状软组织肉瘤、透明细胞肉瘤以及既往至少接受过含蒽环类化疗方案治疗后进展或复发的其他晚期软组织肉瘤患者的治疗。
CXSS1800020,重组结核杆菌融合蛋白（EC）,安徽智飞龙科马生物制药有限公司,2018-09-10,2018-09-10,2018-11-07,已纳入,用于结核杆菌感染筛查；可与结核菌素纯蛋白衍生物(TB-PPD)联用，用于鉴别卡介苗接种与结核杆菌感染，区分卡介苗接种后阴转或未感染结核杆菌、卡介苗接种后维持阳性、结核杆菌感染这三类人群，以便对不同类型人群分别接种不同类型疫苗；结核病的临床辅助诊断。
CXSS1800021,重组结核杆菌融合蛋白（EC）,安徽智飞龙科马生物制药有限公司,2018-09-10,2018-09-10,2018-11-07,已纳入,用于结核杆菌感染筛查；可与结核菌素纯蛋白衍生物(TB-PPD)联用，用于鉴别卡介苗接种与结核杆菌感染，区分卡介苗接种后阴转或未感染结核杆菌、卡介苗接种后维持阳性、结核杆菌感染这三类人群，以便对不同类型人群分别接种不同类型疫苗；结核病的临床辅助诊断。
CXSS1800022,重组结核杆菌融合蛋白（EC）,安徽智飞龙科马生物制药有限公司,2018-09-10,2018-09-10,2018-11-07,已纳入,用于结核杆菌感染筛查；可与结核菌素纯蛋白衍生物(TB-PPD)联用，用于鉴别卡介苗接种与结核杆菌感染，区分卡介苗接种后阴转或未感染结核杆菌、卡介苗接种后维持阳性、结核杆菌感染这三类人群，以便对不同类型人群分别接种不同类型疫苗；结核病的临床辅助诊断。
CYHS1800273,硫酸氢氯吡格雷片,南京正大天晴制药有限公司,2018-09-19,2018-09-19,2018-11-07,已纳入,"氯吡格雷用于以下患者，预防动脉粥样硬化血栓形成事件：
l 近期心肌梗死患者（从几天到小于35天），近期缺血性卒中患者（从7天到小于6个月）或确诊外周动脉性疾病的患者。
l 急性冠脉综合征的患者
‐非ST段抬高性急性冠脉综合征（包括不稳定性心绞痛或非Q波心肌梗死），包括经皮冠状动脉介入术后置入支架的患者，与阿司匹林合用。
‐用于ST段抬高性急性冠脉综合征患者，与阿司匹林联合，可合并在溶栓治疗中使用
"
CYHS1800217,达比加群酯胶囊,正大天晴药业集团股份有限公司,2018-08-15,2018-09-20,2018-11-07,已纳入,预防存在以下一个或多个危险因素的成人非瓣膜性房颤患者的卒中和全身性栓塞（SEE）： 先前曾有卒中、短暂性脑缺血发作或全身性栓塞 左心室射血分数＜40% 伴有症状的心力衰竭、纽约心脏病协会（NYHA）心功能分级≥2级 年龄≥75岁 年龄≥65岁，且伴有以下任一疾病：糖尿病、冠心病或高血压
CYHS1800228,恩他卡朋片,广东东阳光药业有限公司,2018-08-29,2018-08-31,2018-11-07,已纳入,本品可作为标准药物左旋多巴/苄丝肼或左旋多巴/卡比多巴的辅助用药，用于治疗以上药物不能控制的帕金森病及剂末现象（症状波动）。
CYHS1800242,度他雄胺软胶囊,人福普克药业（武汉）有限公司,2018-08-29,2018-08-29,2018-11-07,已纳入,"用于治疗男性伴有前列腺增大的良性前列腺增生症； 
改善症状，减少急性尿潴留的风险，减少良性前列腺增生相关手术的风险。
"
CYHS1800247,琥珀酸美托洛尔缓释片,南通联亚药业有限公司,2018-09-10,2018-09-13,2018-11-07,已纳入,高血压。心绞痛。伴有左心室收缩功能异常的症状稳定的慢性心力衰竭。
CYHS1800248,琥珀酸美托洛尔缓释片,南通联亚药业有限公司,2018-09-10,2018-09-13,2018-11-07,已纳入,
CYHS1800249,琥珀酸美托洛尔缓释片,南通联亚药业有限公司,2018-09-10,2018-09-13,2018-11-07,已纳入,
CYHS1800250,琥珀酸美托洛尔缓释片,南通联亚药业有限公司,2018-09-10,2018-09-13,2018-11-07,已纳入,
CYHS1800267,盐酸可乐定缓释片,力品药业（厦门）有限公司,2018-09-17,2018-09-19,2018-11-07,已纳入,
CYHS1800268,阿托伐他汀钙片,北京万生药业有限责任公司,2018-09-12,2018-09-12,2018-11-07,已纳入,
CYHS1800269,阿托伐他汀钙片,北京万生药业有限责任公司,2018-09-12,2018-09-12,2018-11-07,已纳入,
